state,year,age_group,population
CO,1989,Retired,321239
CT,1970,Kids,1554383
CT,1970,Adults,1190314
CT,1970,Retired,287520
CT,1971,Kids,1571325
CT,1971,Adults,1195383
CT,1971,Retired,294231
CT,1972,Kids,1569595
CT,1972,Adults,1198974
CT,1972,Retired,300132
CT,1973,Kids,1548065
CT,1973,Adults,1212592
CT,1973,Retired,307157
CT,1974,Kids,1543104
CT,1974,Adults,1216942
CT,1974,Retired,314002
CT,1975,Kids,1535687
CT,1975,Adults,1223500
CT,1975,Retired,323313
CT,1976,Kids,1523807
CT,1976,Adults,1227330
CT,1976,Retired,332198
CT,1977,Kids,1499153
CT,1977,Adults,1245765
CT,1977,Retired,340804
CT,1978,Kids,1483311
CT,1978,Adults,1259045
CT,1978,Retired,349273
CT,1979,Kids,1467507
CT,1979,Adults,1269460
CT,1979,Retired,358947
CT,1980,Kids,1457142
CT,1980,Adults,1288467
CT,1980,Retired,367565
CT,1981,Kids,1449637
CT,1981,Adults,1302676
CT,1981,Retired,376526
CT,1982,Kids,1437892
CT,1982,Adults,1313860
CT,1982,Retired,387260
CT,1983,Kids,1434911
CT,1983,Adults,1330584
CT,1983,Retired,396848
CT,1984,Kids,1426332
CT,1984,Adults,1349149
CT,1984,Retired,404542
CT,1985,Kids,1421016
CT,1985,Adults,1367659
CT,1985,Retired,412453
CT,1986,Kids,1418072
CT,1986,Adults,1386173
CT,1986,Retired,419492
CT,1987,Kids,1412142
CT,1987,Adults,1408378
CT,1987,Retired,426771
CT,1988,Kids,1408690
CT,1988,Adults,1431542
CT,1988,Retired,431726
CT,1989,Kids,1398493
CT,1989,Adults,1446265
CT,1989,Retired,438651
California,1990,Kids,14250036
California,1990,Adults,12564684
California,1990,Retired,3135391
California,1991,Kids,14358922
California,1991,Adults,12851236
California,1991,Retired,3203956
California,1992,Kids,14421789
California,1992,Adults,13186601
California,1992,Retired,3267530
California,1993,Kids,14413297
California,1993,Adults,13396072
California,1993,Retired,3337839
California,1994,Kids,14377512
California,1994,Adults,13548952
California,1994,Retired,3390715
California,1995,Kids,14356202
California,1995,Adults,13679011
California,1995,Retired,3458312
California,1996,Kids,14408371
California,1996,Adults,13853278
California,1996,Retired,3519180
California,1997,Kids,14475571
California,1997,Adults,14174038
California,1997,Retired,3568099
California,1998,Kids,14565873
California,1998,Adults,14505766
California,1998,Retired,3611155
California,1999,Kids,14677627
California,1999,Adults,14819962
California,1999,Retired,3647532
Colorado,1990,Kids,1501026
Colorado,1990,Adults,1471827
Colorado,1990,Retired,331009
Colorado,1991,Kids,1502490
Colorado,1991,Adults,1525191
Colorado,1991,Retired,339886
Colorado,1992,Kids,1522829
Colorado,1992,Adults,1587764
Colorado,1992,Retired,349402
Colorado,1993,Kids,1543814
Colorado,1993,Adults,1657742
Colorado,1993,Retired,359328
Colorado,1994,Kids,1562490
Colorado,1994,Adults,1722497
Colorado,1994,Retired,368923
Colorado,1995,Kids,1584603
Colorado,1995,Adults,1776130
