"fips","agegr","year","state","pop","age","popm","popf","state2"
11,"16",1970,"DC",11846,,,,"DC"
11,"17",1970,"DC",11639,,,,"DC"
11,"25-29",1970,"DC",64961,,,,"DC"
11,"55-59",1970,"DC",38029,,,,"DC"
11,"18",1970,"DC",14183,,,,"DC"
11,"0-2",1970,"DC",35354,,,,"DC"
11,"60-61",1970,"DC",13981,,,,"DC"
11,"3-4",1970,"DC",24438,,,,"DC"
11,"14",1970,"DC",12691,,,,"DC"
11,"45-54",1970,"DC",83753,,,,"DC"
11,"24",1970,"DC",13839,,,,"DC"
11,"15",1970,"DC",12270,,,,"DC"
11,"20",1970,"DC",16448,,,,"DC"
11,"23",1970,"DC",16075,,,,"DC"
11,"30-34",1970,"DC",47670,,,,"DC"
11,"5-13",1970,"DC",116075,,,,"DC"
11,"65+",1970,"DC",70326,,,,"DC"
11,"62-64M",1970,"DC",8104,,,,"DC"
11,"19",1970,"DC",15729,,,,"DC"
11,"62-64F",1970,"DC",10856,,,,"DC"
10,"18",1970,"DE",10202,,,,"DE"
10,"55-59",1970,"DE",24405,,,,"DE"
10,"5-13",1970,"DE",105494,,,,"DE"
10,"62-64M",1970,"DE",5327,,,,"DE"
10,"23",1970,"DE",9532,,,,"DE"
10,"25-29",1970,"DE",38208,,,,"DE"
10,"20",1970,"DE",8860,,,,"DE"
10,"14",1970,"DE",11465,,,,"DE"
10,"60-61",1970,"DE",8637,,,,"DE"
10,"15",1970,"DE",11068,,,,"DE"
10,"3-4",1970,"DE",20229,,,,"DE"
10,"0-2",1970,"DE",28256,,,,"DE"
10,"22",1970,"DE",9398,,,,"DE"
10,"24",1970,"DE",7229,,,,"DE"
10,"62-64F",1970,"DE",6026,,,,"DE"
10,"21",1970,"DE",8781,,,,"DE"
10,"35-44",1970,"DE",65558,,,,"DE"
10,"17",1970,"DE",10188,,,,"DE"
10,"30-34",1970,"DE",32255,,,,"DE"
10,"16",1970,"DE",10474,,,,"DE"
10,"45-54",1970,"DE",63447,,,,"DE"
10,"19",1970,"DE",9416,,,,"DE"
10,"65+",1970,"DE",43649,,,,"DE"
12,"60-61",1970,"FL",143638,,,,"FL"
12,"22",1970,"FL",104374,,,,"FL"
12,"20",1970,"FL",105837,,,,"FL"
12,"16",1970,"FL",119605,,,,"FL"
12,"25-29",1970,"FL",403478,,,,"FL"
12,"3-4",1970,"FL",205561,,,,"FL"
12,"17",1970,"FL",115635,,,,"FL"
12,"62-64M",1970,"FL",94134,,,,"FL"
12,"14",1970,"FL",127632,,,,"FL"
12,"19",1970,"FL",106071,,,,"FL"
12,"65+",1970,"FL",985524,,,,"FL"
12,"30-34",1970,"FL",359002,,,,"FL"
12,"24",1970,"FL",81970,,,,"FL"
12,"35-44",1970,"FL",747603,,,,"FL"
12,"15",1970,"FL",124305,,,,"FL"
12,"62-64F",1970,"FL",121538,,,,"FL"
12,"21",1970,"FL",100885,,,,"FL"
12,"18",1970,"FL",111768,,,,"FL"
12,"45-54",1970,"FL",762765,,,,"FL"
12,"55-59",1970,"FL",347687,,,,"FL"
12,"0-2",1970,"FL",296072,,,,"FL"
12,"5-13",1970,"FL",1122453,,,,"FL"
12,"23",1970,"FL",103881,,,,"FL"
13,"17",1970,"GA",88099,,,,"GA"
13,"16",1970,"GA",90050,,,,"GA"
13,"25-29",1970,"GA",330501,,,,"GA"
13,"62-64F",1970,"GA",54544,,,,"GA"
13,"15",1970,"GA",93486,,,,"GA"
13,"62-64M",1970,"GA",44483,,,,"GA"
13,"20",1970,"GA",88815,,,,"GA"
13,"24",1970,"GA",68448,,,,"GA"
13,"14",1970,"GA",95738,,,,"GA"
13,"23",1970,"GA",87158,,,,"GA"
13,"19",1970,"GA",83993,,,,"GA"
13,"22",1970,"GA",88691,,,,"GA"
13,"55-59",1970,"GA",207251,,,,"GA"
13,"18",1970,"GA",87319,,,,"GA"
13,"35-44",1970,"GA",516461,,,,"GA"
13,"5-13",1970,"GA",856300,,,,"GA"
13,"45-54",1970,"GA",484905,,,,"GA"
13,"60-61",1970,"GA",76663,,,,"GA"
13,"65+",1970,"GA",365382,,,,"GA"
13,"0-2",1970,"GA",250544,,,,"GA"
13,"30-34",1970,"GA",273700,,,,"GA"
13,"21",1970,"GA",84041,,,,"GA"
13,"3-4",1970,"GA",171358,,,,"GA"
15,"23",1970,"HI",16107,,,,"HI"
15,"60-61",1970,"HI",10505,,,,"HI"
15,"25-29",1970,"HI",59583,,,,"HI"
15,"3-4",1970,"HI",28770,,,,"HI"
15,"5-13",1970,"HI",144260,,,,"HI"
15,"62-64F",1970,"HI",5404,,,,"HI"
15,"17",1970,"HI",14641,,,,"HI"
15,"0-2",1970,"HI",42181,,,,"HI"
15,"21",1970,"HI",18208,,,,"HI"
15,"22",1970,"HI",17321,,,,"HI"
15,"18",1970,"HI",13747,,,,"HI"
15,"65+",1970,"HI",43983,,,,"HI"
15,"15",1970,"HI",15078,,,,"HI"
15,"16",1970,"HI",14545,,,,"HI"
